GSM1358650	GSM1358651	GSM1358652	GSM1358653	GSM1358654	GSM1358655	GSM1358656	GSM1358657	GSM1358658	GSM1358659	GSM1358660	GSM1358661	GSM1358662	GSM1358663	GSM1358664
AB000409	521.6706466	551.4934243	816.8597296	1880.419892	362.6535687	125.934573	798.4846657	903.3536528	502.6313624	427.5101543	690.1485556	823.0626522	117.9118135	71.96407577	446.0878647
AB000463	1349.042824	1281.020677	137.5401225	1003.503641	101.4428506	1356.15021	412.3201627	358.5868633	279.9495404	50.03494804	86.97388855	72.15102607	23.50532987	14.87151124	855.0658708
AB000781	304.7686082	74.34076198	119.4082296	16.10369288	85.36376828	1519.987716	22.09348132	16.90569369	27.05407886	44.93244653	88.35827764	110.5929132	67.53551559	32.57576514	16.22814251
AB001328	14.7843215	50.8326103	721.6119778	260.3593724	626.4348474	862.3408216	293.3786583	37.18872698	134.9694418	271.9946366	168.3229665	118.9869717	1142.270826	154.9788266	1057.353092
AB002294	3321.07686	2006.020468	2682.420065	3564.137871	1690.640631	292.0522642	1302.336562	1513.999356	2040.967794	2448.855482	1419.163408	1696.463702	1147.256975	616.2164942	2789.183735
AB002308	357.2885296	1427.262995	540.1227411	1266.678893	2231.737859	271.0490216	3674.344275	4125.174163	2578.245599	2321.575652	1191.998159	2241.580188	60.79378589	417.914687	2514.753961
AB002311	117.1732499	16.84931318	22.39359632	62.07526325	25.12050363	15.881666	871.3544425	753.6928802	522.0649206	42.47324358	21.94501971	444.4503878	145.2291518	263.6166763	431.3578671
AB002313	4838.843377	4407.793601	1799.757764	838.8167547	4963.571635	6097.981523	3936.043601	4324.764388	3038.281693	1919.058701	3414.836972	3308.704613	818.3475584	1177.213375	4587.559107
AB002360	835.1545353	14.69798294	645.5610019	14.09895996	514.1088976	30.51282488	536.931989	515.5950243	556.0765442	40.84018561	678.1040265	87.57518353	442.4093381	1169.746611	897.2371702
AB002377	190.9318755	1315.872375	391.9436914	1097.335221	2439.048327	1918.695135	850.0413412	1277.182552	348.5929339	536.2915406	928.9232482	814.7136664	437.9289389	446.8501732	749.2434902
AB002381	839.7946222	2399.797928	329.8388509	1183.519843	575.8661389	1314.246268	959.3428566	1031.524135	507.3344055	503.7847524	500.9848558	891.1271928	312.7270435	114.568432	1248.542888
AB002382	1435.761303	1444.002207	1500.363281	2947.336302	1579.418983	2648.278737	4776.390118	3606.34804	3524.077028	5328.613489	4297.053377	3392.961242	3404.156298	2771.511941	2762.79082
AB002384	17.76823787	11.52666402	20.83636869	18.29652284	176.2679923	746.3114615	46.97859984	129.8447552	117.2672665	15.51871812	12.5142615	27.4492144	58.64360775	14.67654622	38.90053356
